InstanceType,Duration,PaymentOption,ReservedInstanceOfferingId
c4.2xlarge.search,31536000,NO_UPFRONT,e6aeb5a4-ace6-42eb-9a83-d0829e258413
c4.4xlarge.search,31536000,PARTIAL_UPFRONT,d0d3cb3c-7bae-4049-bbf4-888d9a257558
c4.8xlarge.search,94608000,NO_UPFRONT,eeced3ce-79be-4db4-8070-4e4a9948926a
c4.large.search,94608000,NO_UPFRONT,f7202426-bcee-4fad-ac66-f79a4a4c171f
c4.xlarge.search,31536000,ALL_UPFRONT,ee36582c-dae1-4f66-8226-62b6bf33913f
c5.18xlarge.search,94608000,ALL_UPFRONT,f5eb7bca-8fbc-4baf-9661-50eb892338bb
c5.2xlarge.search,94608000,NO_UPFRONT,f044977c-6f4f-4f53-8ba9-046eed46c385
c5.4xlarge.search,31536000,PARTIAL_UPFRONT,d82d239c-b43a-4394-b097-fcb4dec2701d
c5.9xlarge.search,94608000,ALL_UPFRONT,c29c47ca-d449-4e3a-a6b8-3df72bc5a72b
c5.large.search,31536000,NO_UPFRONT,e5a9a374-d77f-436d-b8e5-be91f63cb6e6
c5.xlarge.search,31536000,NO_UPFRONT,d5175b47-e0d8-45f9-b961-88c07c984bfe
c6g.12xlarge.search,94608000,ALL_UPFRONT,ff6aad60-c452-4b81-a684-713a2fa199e0
c6g.2xlarge.search,94608000,NO_UPFRONT,f4ee259f-ef32-423a-8cb2-075ce6369137
c6g.4xlarge.search,94608000,NO_UPFRONT,dcd0f10d-14b3-4d60-806d-3e323f179a56
c6g.8xlarge.search,94608000,ALL_UPFRONT,dc91df3f-5335-4bbb-916c-4c79cb0bda01
c6g.large.search,94608000,NO_UPFRONT,9065708c-bb14-4872-9f22-f70500133353
c6g.xlarge.search,94608000,ALL_UPFRONT,b47e0250-66b8-4843-a4de-b0830497e0bc
c7g.12xlarge.search,94608000,PARTIAL_UPFRONT,f37d1322-d042-4956-b647-775dee0bc1f2
c7g.16xlarge.search,31536000,NO_UPFRONT,ecdc926a-31ed-4307-a04c-903a58fe1fc1
c7g.2xlarge.search,31536000,ALL_UPFRONT,d80b1fc7-27b1-4fc6-9451-002d1767f544
c7g.4xlarge.search,31536000,ALL_UPFRONT,5a3e216d-e6bb-4868-a985-53dd2e103a52
c7g.8xlarge.search,94608000,PARTIAL_UPFRONT,f8daee57-e4dd-40ab-9fe7-96c5ac79835e
c7g.large.search,31536000,PARTIAL_UPFRONT,ddd19f41-3ab7-4ce0-a076-d8934b37027a
c7g.xlarge.search,94608000,PARTIAL_UPFRONT,e2f11efa-a46f-4748-8e4e-c81a2811e2df
c7i.12xlarge.search,94608000,NO_UPFRONT,ee430a64-326a-4bb3-995a-3bf9e52eaed4
c7i.16xlarge.search,94608000,PARTIAL_UPFRONT,ee6ecd3a-edb3-4e88-b08f-230e15c273dd
c7i.2xlarge.search,31536000,ALL_UPFRONT,fa37ff9b-0fbd-4829-b5a2-aa80f8e548c2
c7i.4xlarge.search,31536000,PARTIAL_UPFRONT,e4c56e59-6f58-4380-8d5c-07febd0c98f6
c7i.8xlarge.search,31536000,ALL_UPFRONT,de34dda8-3c0a-411f-9a97-af0723ce8bc7
c7i.large.search,31536000,NO_UPFRONT,fc3c4a74-126e-4e56-b35e-a7a33c8a732e
